epoch,train_loss,train_correlation_loss,train_weighted_correlation_loss,train_grad_norm,skipped_optimizer_steps,skipped_nonfinite_losses,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,full_val_dice_wt,full_val_dice_tc,full_val_dice_et,full_val_mean_dice,selection_mean_dice,lr,early_stop_counter
173,0.188793,,,0.220214,0,0,0.9268,0.9172,0.8892,0.9111,,,,,,0.001,5
174,0.207170,,,0.268190,0,0,0.9222,0.9179,0.8835,0.9079,,,,,,0.001,5
175,0.194629,,,0.228785,0,0,0.9272,0.9226,0.8903,0.9133,,,,,,0.001,5
176,0.197222,,,0.204448,0,0,0.9226,0.9215,0.8881,0.9108,,,,,,0.001,5
177,0.200046,,,0.238080,0,0,0.9262,0.9038,0.8773,0.9024,,,,,,0.001,5
178,0.201350,,,0.248291,0,0,0.9208,0.9097,0.8770,0.9025,,,,,,0.001,5
179,0.190772,,,0.219118,0,0,0.9278,0.9232,0.8884,0.9131,,,,,,0.001,5
180,0.174548,,,0.183052,0,0,0.9203,0.9217,0.8923,0.9115,0.9188,0.9248,0.8982,0.9139,0.9139,0.001,6
181,0.187659,,,0.209555,0,0,0.9288,0.9198,0.8861,0.9116,,,,,,0.001,6
182,0.187752,,,0.206495,0,0,0.9273,0.9040,0.8772,0.9028,,,,,,0.001,6
183,0.189923,,,0.196421,0,0,0.9341,0.9217,0.8883,0.9147,,,,,,0.001,6
184,0.177070,,,0.201182,0,0,0.9242,0.9235,0.8912,0.9130,,,,,,0.001,6
185,0.182944,,,0.203342,0,0,0.9298,0.9268,0.8927,0.9164,,,,,,0.001,6
186,0.179041,,,0.209472,0,0,0.9120,0.9050,0.8736,0.8969,,,,,,0.001,6
187,0.201158,,,0.254103,0,0,0.9258,0.9151,0.8837,0.9082,,,,,,0.001,6
188,0.196303,,,0.219991,0,0,0.9066,0.8948,0.8660,0.8892,,,,,,0.001,6
189,0.183535,,,0.197133,0,0,0.9166,0.9169,0.8787,0.9041,,,,,,0.001,6
190,0.191509,,,0.217958,0,0,0.9251,0.9126,0.8802,0.9059,0.9250,0.9287,0.8937,0.9158,0.9158,0.0005,7
191,0.175192,,,0.194456,0,0,0.9306,0.9227,0.8911,0.9148,,,,,,0.0005,7
192,0.175572,,,0.181377,0,0,0.9336,0.9154,0.8889,0.9126,,,,,,0.0005,7
