epoch,train_loss,train_correlation_loss,train_weighted_correlation_loss,train_grad_norm,skipped_optimizer_steps,skipped_nonfinite_losses,val_dice_wt,val_dice_tc,val_dice_et,val_mean_dice,full_val_dice_wt,full_val_dice_tc,full_val_dice_et,full_val_mean_dice,selection_mean_dice,lr,early_stop_counter
151,0.165315,,,0.222103,0,0,0.9325,0.9222,0.8918,0.9155,,,,,,0.0005,7
152,0.165334,,,0.220882,0,0,0.9395,0.9123,0.8791,0.9103,,,,,,0.0005,7
153,0.173753,,,0.217110,0,0,0.9388,0.9278,0.8967,0.9211,,,,,,0.0005,7
154,0.161172,,,0.216517,0,0,0.9385,0.9243,0.8945,0.9191,,,,,,0.0005,7
155,0.174877,,,0.238358,0,0,0.9325,0.9284,0.8977,0.9195,,,,,,0.0005,7
156,0.167186,,,0.251144,0,0,0.9300,0.9019,0.8699,0.9006,,,,,,0.0005,7
157,0.167390,,,0.221815,0,0,0.9390,0.9174,0.8916,0.9160,,,,,,0.0005,7
158,0.176824,,,0.262728,0,0,0.9351,0.9183,0.8895,0.9143,,,,,,0.0005,7
159,0.168892,,,0.223041,0,0,0.9332,0.9239,0.8978,0.9183,,,,,,0.0005,7
160,0.174993,,,0.253235,0,0,0.9403,0.9245,0.8934,0.9194,0.9397,0.9282,0.9046,0.9242,0.9242,0.0005,8
161,0.156246,,,0.188607,0,0,0.9389,0.9269,0.8972,0.9210,,,,,,0.0005,8
162,0.174107,,,0.250005,0,0,0.9338,0.9286,0.8972,0.9199,,,,,,0.0005,8
163,0.161882,,,0.229961,0,0,0.9352,0.9227,0.8921,0.9166,,,,,,0.0005,8
164,0.159573,,,0.203939,0,0,0.9366,0.9263,0.8953,0.9194,,,,,,0.0005,8
165,0.169559,,,0.234925,0,0,0.9362,0.9212,0.8947,0.9173,,,,,,0.0005,8
166,0.165339,,,0.223299,0,0,0.9289,0.9138,0.8820,0.9082,,,,,,0.0005,8
167,0.180952,,,0.290213,0,0,0.9348,0.9110,0.8861,0.9106,,,,,,0.0005,8
168,0.165508,,,0.214355,0,0,0.9400,0.9218,0.8958,0.9192,,,,,,0.0005,8
169,0.162453,,,0.211061,0,0,0.9309,0.9248,0.8965,0.9174,,,,,,0.0005,8
170,0.167469,,,0.236813,0,0,0.9376,0.9194,0.8912,0.9161,0.9342,0.9229,0.9013,0.9195,0.9195,0.0005,9
171,0.165794,,,0.201060,0,0,0.9400,0.9214,0.8924,0.9179,,,,,,0.0005,9
172,0.162909,,,0.224339,0,0,0.9372,0.9053,0.8802,0.9076,,,,,,0.0005,9
173,0.167487,,,0.252720,0,0,0.9353,0.9203,0.8923,0.9160,,,,,,0.0005,9
174,0.176952,,,0.294062,0,0,0.9328,0.9255,0.8930,0.9171,,,,,,0.0005,9
175,0.167258,,,0.228402,0,0,0.9401,0.9204,0.8928,0.9177,,,,,,0.0005,9
176,0.180993,,,0.237468,0,0,0.9405,0.9291,0.8993,0.9230,,,,,,0.0005,9
177,0.164294,,,0.216955,0,0,0.9407,0.9037,0.8783,0.9076,,,,,,0.0005,9
178,0.171204,,,0.287191,0,0,0.9146,0.9023,0.8701,0.8957,,,,,,0.0005,9
179,0.168298,,,0.227158,0,0,0.9402,0.9168,0.8903,0.9158,,,,,,0.0005,9
180,0.156281,,,0.210740,0,0,0.9363,0.9279,0.8956,0.9200,0.9367,0.9312,0.9055,0.9245,0.9245,0.0005,0
181,0.163651,,,0.211973,0,0,0.9363,0.9310,0.8968,0.9213,,,,,,0.0005,0
182,0.175920,,,0.320446,0,0,0.9413,0.9130,0.8883,0.9142,,,,,,0.0005,0
183,0.168497,,,0.222933,0,0,0.9377,0.9225,0.8933,0.9178,,,,,,0.0005,0
184,0.154641,,,0.197686,0,0,0.9377,0.9266,0.8952,0.9198,,,,,,0.0005,0
185,0.155758,,,0.188322,0,0,0.9337,0.9297,0.8974,0.9203,,,,,,0.0005,0
186,0.159996,,,0.243693,0,0,0.9377,0.9143,0.8861,0.9127,,,,,,0.0005,0
187,0.166315,,,0.252999,0,0,0.9347,0.9281,0.8954,0.9194,,,,,,0.0005,0
188,0.171291,,,0.251851,0,0,0.9349,0.9184,0.8904,0.9146,,,,,,0.0005,0
189,0.163182,,,0.213734,0,0,0.9294,0.9238,0.8933,0.9155,,,,,,0.0005,0
190,0.174314,,,0.268928,0,0,0.9347,0.9108,0.8894,0.9116,0.9349,0.9227,0.9045,0.9207,0.9207,0.0005,1
191,0.169731,,,0.261176,0,0,0.9324,0.9247,0.8928,0.9166,,,,,,0.0005,1
192,0.168505,,,0.238441,0,0,0.9372,0.9117,0.8894,0.9128,,,,,,0.0005,1
193,0.160137,,,0.232179,0,0,0.9358,0.9292,0.8979,0.9210,,,,,,0.0005,1
194,0.168507,,,0.265783,0,0,0.9169,0.9060,0.8777,0.9002,,,,,,0.0005,1
195,0.165498,,,0.211197,0,0,0.9344,0.9262,0.8926,0.9177,,,,,,0.0005,1
196,0.167473,,,0.267760,0,0,0.9316,0.9114,0.8941,0.9124,,,,,,0.0005,1
197,0.160348,,,0.207359,0,0,0.9353,0.9205,0.8933,0.9164,,,,,,0.0005,1
198,0.160639,,,0.226789,0,0,0.9388,0.9229,0.8938,0.9185,,,,,,0.0005,1
199,0.171990,,,0.259523,0,0,0.9370,0.9101,0.8804,0.9092,,,,,,0.0005,1
200,0.167227,,,0.273087,0,0,0.9378,0.9086,0.8821,0.9095,0.9350,0.9325,0.9014,0.9230,0.9230,0.0005,2
201,0.161628,,,0.243514,0,0,0.9324,0.9238,0.8910,0.9157,,,,,,0.0005,2
202,0.161730,,,0.220891,0,0,0.9339,0.9233,0.8931,0.9168,,,,,,0.0005,2
203,0.157957,,,0.218551,0,0,0.9379,0.9322,0.8991,0.9231,,,,,,0.0005,2
204,0.160126,,,0.241365,0,0,0.9369,0.9177,0.8868,0.9138,,,,,,0.0005,2
205,0.160875,,,0.230106,0,0,0.9412,0.9248,0.8965,0.9208,,,,,,0.0005,2
206,0.164910,,,0.233259,0,0,0.9275,0.9228,0.8962,0.9155,,,,,,0.0005,2
207,0.170957,,,0.246853,0,0,0.9362,0.9261,0.8950,0.9191,,,,,,0.0005,2
208,0.157148,,,0.217270,0,0,0.9434,0.9260,0.8938,0.9211,,,,,,0.0005,2
209,0.173565,,,0.253093,0,0,0.9354,0.9257,0.8988,0.9200,,,,,,0.0005,2
210,0.162683,,,0.282659,0,0,0.9407,0.9182,0.8931,0.9173,0.9403,0.9293,0.9078,0.9258,0.9258,0.0005,0
211,0.169421,,,0.282801,0,0,0.9373,0.9234,0.8949,0.9185,,,,,,0.0005,0
212,0.170039,,,0.243789,0,0,0.9418,0.9222,0.8944,0.9195,,,,,,0.0005,0
213,0.164025,,,0.228197,0,0,0.9409,0.9241,0.8962,0.9204,,,,,,0.0005,0
214,0.163322,,,0.242337,0,0,0.9424,0.9144,0.8915,0.9161,,,,,,0.0005,0
215,0.165725,,,0.246071,0,0,0.9350,0.9257,0.8943,0.9183,,,,,,0.0005,0
216,0.159346,,,0.237363,0,0,0.9421,0.9228,0.8930,0.9193,,,,,,0.0005,0
217,0.162718,,,0.265913,0,0,0.9332,0.9193,0.8876,0.9134,,,,,,0.0005,0
218,0.164813,,,0.268201,0,0,0.9404,0.9266,0.8956,0.9209,,,,,,0.0005,0
219,0.156702,,,0.218912,0,0,0.9409,0.9209,0.8918,0.9179,,,,,,0.0005,0
220,0.162941,,,0.236888,0,0,0.9371,0.9172,0.8880,0.9141,0.9410,0.9243,0.8996,0.9216,0.9216,0.0005,1
221,0.158821,,,0.245569,0,0,0.9367,0.9231,0.8915,0.9171,,,,,,0.0005,1
222,0.155703,,,0.241640,0,0,0.9412,0.9233,0.8920,0.9189,,,,,,0.0005,1
223,0.158643,,,0.248218,0,0,0.9379,0.9048,0.8792,0.9073,,,,,,0.0005,1
224,0.170185,,,0.257477,0,0,0.9412,0.9269,0.8970,0.9217,,,,,,0.0005,1
225,0.160430,,,0.227403,0,0,0.9386,0.9263,0.8957,0.9202,,,,,,0.0005,1
226,0.167139,,,0.272859,0,0,0.9388,0.9204,0.8893,0.9162,,,,,,0.0005,1
227,0.150228,,,0.220795,0,0,0.9393,0.9225,0.8930,0.9183,,,,,,0.0005,1
228,0.160618,,,0.249218,0,0,0.9384,0.9173,0.8898,0.9152,,,,,,0.0005,1
229,0.161127,,,0.242529,0,0,0.9371,0.9211,0.8940,0.9174,,,,,,0.0005,1
230,0.161392,,,0.265887,0,0,0.9371,0.9193,0.8919,0.9161,0.9414,0.9276,0.9053,0.9248,0.9248,0.0005,2
231,0.160746,,,0.225691,0,0,0.9398,0.9215,0.8945,0.9186,,,,,,0.0005,2
232,0.160394,,,0.213074,0,0,0.9409,0.9155,0.8887,0.9151,,,,,,0.0005,2
233,0.156879,,,0.215570,0,0,0.9402,0.9222,0.8867,0.9164,,,,,,0.0005,2
234,0.171329,,,0.293961,0,0,0.9380,0.9188,0.8921,0.9163,,,,,,0.0005,2
235,0.154600,,,0.230909,0,0,0.9410,0.9274,0.8974,0.9219,,,,,,0.0005,2
236,0.158587,,,0.239427,0,0,0.9312,0.9213,0.8920,0.9148,,,,,,0.0005,2
237,0.154998,,,0.226795,0,0,0.9241,0.9238,0.8990,0.9156,,,,,,0.0005,2
238,0.167576,,,0.246539,0,0,0.9360,0.9261,0.8962,0.9195,,,,,,0.0005,2
239,0.158419,,,0.241269,0,0,0.9301,0.9126,0.8846,0.9091,,,,,,0.0005,2
240,0.161525,,,0.262700,0,0,0.9360,0.9223,0.8918,0.9167,0.9390,0.9283,0.9016,0.9230,0.9230,0.0005,3
241,0.155740,,,0.226523,0,0,0.9345,0.9120,0.8853,0.9106,,,,,,0.0005,3
242,0.173763,,,0.264537,0,0,0.9389,0.9252,0.8974,0.9205,,,,,,0.0005,3
243,0.162633,,,0.262953,0,0,0.9289,0.9078,0.8765,0.9044,,,,,,0.0005,3
244,0.156419,,,0.226054,0,0,0.9406,0.9231,0.8940,0.9192,,,,,,0.0005,3
245,0.166980,,,0.288101,0,0,0.9392,0.9268,0.8942,0.9201,,,,,,0.0005,3
246,0.171371,,,0.283757,0,0,0.9385,0.9239,0.8923,0.9183,,,,,,0.0005,3
247,0.163464,,,0.240033,0,0,0.9407,0.9159,0.8893,0.9153,,,,,,0.0005,3
248,0.169460,,,0.245642,0,0,0.9391,0.9210,0.8945,0.9182,,,,,,0.0005,3
249,0.159085,,,0.243182,0,0,0.9413,0.9192,0.8908,0.9171,,,,,,0.0005,3
250,0.161571,,,0.238707,0,0,0.9324,0.9262,0.8949,0.9179,0.9382,0.9305,0.9070,0.9253,0.9253,0.00025,4
251,0.146364,,,0.174174,0,0,0.9398,0.9217,0.8930,0.9182,,,,,,0.00025,4
252,0.149295,,,0.190653,0,0,0.9412,0.9298,0.8999,0.9236,,,,,,0.00025,4
253,0.142624,,,0.205590,0,0,0.9415,0.9300,0.8996,0.9237,,,,,,0.00025,4
254,0.161161,,,0.220048,0,0,0.9401,0.9268,0.8972,0.9214,,,,,,0.00025,4
255,0.159215,,,0.223240,0,0,0.9397,0.9279,0.9000,0.9225,,,,,,0.00025,4
256,0.153656,,,0.200187,0,0,0.9421,0.9304,0.9009,0.9245,,,,,,0.00025,4
